"분류번호","측정소명","년/월/일","회차","경도","위도","채수시각","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","SS(㎎/L)"
"3011A79","용두천","2022/01/18","1회차","127°23'50.27""","36°45'28.08""","14:00","15.7","1.4","5.3","6.495","0.199","2.5","1.9"
"3008A55","용호천","2022/01/18","1회차","127°27'8.04""","36°26'53.6""","10:00","14.6","0.4","2.1","1.554","0.007","1.0","0.4"
"3009A30","유등천1","2022/01/18","1회차","127°22'20.25""","36°14'58.74""","10:00","14.8","0.2","2.2","2.368","0.006","1.2","0.9"
"3011A87","조천2","2022/01/18","1회차","127°17'58.66""","36°35'8.48""","14:00","14.7","1.2","4.5","3.590","0.029","2.2","2.9"
"3011A17","한천","2022/01/18","1회차","127°30'18.88""","36°54'42.61""","11:20","15.0","1.6","4.3","7.100","0.167","2.3","1.9"
"3009A80","갑천7","2022/01/18","3회차","127°23'59.87""","36°27'13.72""","14:00","12.9","1.9","7.8","8.886","0.074","5.8","3.6"
"3011A97","미호강10","2022/01/18","3회차","127°19'8.29""","36°31'29.17""","13:10","11.9","1.9","7.1","7.712","0.052","5.2","1.5"
"3010A20","부강","2022/01/18","3회차","127°21'49.14""","36°30'59.78""","11:40","14.2","0.5","5.1","4.193","0.024","3.9","1.3"
"3014A10","강경","2022/01/19","1회차","127°0'23.9""","36°9'15.3""","14:10","14.6","1.5","5.4","5.007","0.035","4.1","4.6"
"3014A50","금강갑문","2022/01/19","1회차","126°45'10.9""","36°0'52.4""","13:10","16.7","4.0","7.9","3.618","0.025","7.1","14.0"
"3012A65","금천","2022/01/19","1회차","126°53'7.52""","36°14'53.49""","11:00","15.2","1.1","3.9","3.639","0.055","2.4","8.7"
